subj,phase,trial,stim,stim_type,f1,f2,c,resp,corr,rt,f1_is,e_is
x101,learn,80,L9,learn,0,-0.64,1,1,1,0.87077,angle,0
x101,learn,81,L1,learn,-0.38636,-0.10352,1,1,1,0.768165,angle,0
x101,learn,82,L15,learn,-1.301064,1.301064,0,0,1,1.97654,angle,0
x101,learn,83,L28,learn,-0.64,0,1,1,1,1.77307,angle,0
x101,learn,84,L24,learn,-0.62,1.07384,0,0,1,1.30882,angle,0
x101,learn,85,L21,learn,-1.301064,-1.301064,0,0,1,0.654095,angle,0
x101,learn,86,L20,learn,0.10352,0.38636,1,1,1,1.187435,angle,0
x101,learn,87,L25,learn,-1.07384,-0.62,0,1,0,1.15556,angle,0
x101,learn,88,L3,learn,0.62,1.07384,0,0,1,0.970575,angle,0
x101,learn,89,L5,learn,1.07384,0.62,0,0,1,3.216045,angle,0
x101,learn,90,L6,learn,0.62,-1.07384,0,0,1,0.71899,angle,0
x101,learn,91,L8,learn,1.84,0,0,0,1,0.552755,angle,0
x101,learn,92,L19,learn,-0.10352,-0.38636,1,1,1,0.954405,angle,0
x101,learn,93,L17,learn,-0.452544,-0.452544,1,0,0,1.69179,angle,0
x101,learn,94,L22,learn,1.07384,-0.62,0,0,1,1.077105,angle,0
x101,learn,95,L12,learn,0.452544,-0.452544,1,0,0,0.83807,angle,0
x101,learn,96,L27,learn,1.301064,-1.301064,0,0,1,0.652605,angle,0
x101,learn,97,L6,learn,0.62,-1.07384,0,0,1,2.46347,angle,0
x101,learn,98,L31,learn,0.38636,-0.10352,1,1,1,1.086985,angle,0
x101,learn,99,L21,learn,-1.301064,-1.301064,0,0,1,0.82191,angle,0
x101,learn,100,L16,learn,0,0.64,1,0,0,6.364765,angle,0
x101,learn,101,L7,learn,-0.10352,0.38636,1,1,1,3.316565,angle,0
x101,learn,102,L9,learn,0,-0.64,1,0,0,1.692755,angle,0
x101,learn,103,L26,learn,-1.07384,0.62,0,0,1,1.689425,angle,0
x101,learn,104,L1,learn,-0.38636,-0.10352,1,1,1,1.084875,angle,0
x101,learn,105,L3,learn,0.62,1.07384,0,0,1,0.819705,angle,0
x101,learn,106,L10,learn,0,1.84,0,0,1,0.634935,angle,0
x101,learn,107,L4,learn,-0.452544,0.452544,1,1,1,1.12281,angle,0
x101,learn,108,L28,learn,-0.64,0,1,1,1,1.17227,angle,0
x101,learn,109,L11,learn,0.64,0,1,1,1,0.819635,angle,0
x101,learn,110,L15,learn,-1.301064,1.301064,0,0,1,0.902155,angle,0
x101,learn,111,L17,learn,-0.452544,-0.452544,1,0,0,1.67562,angle,0
x101,learn,112,L13,learn,-0.62,-1.07384,0,0,1,0.657195,angle,0
x101,learn,113,L32,learn,0.10352,-0.38636,1,1,1,1.66383,angle,0
x101,learn,114,L8,learn,1.84,0,0,1,0,1.30699,angle,0
x101,learn,115,L5,learn,1.07384,0.62,0,0,1,1.048095,angle,0
x101,learn,116,L22,learn,1.07384,-0.62,0,0,1,3.11569,angle,0
x101,learn,117,L25,learn,-1.07384,-0.62,0,0,1,1.05401,angle,0
x101,learn,118,L20,learn,0.10352,0.38636,1,1,1,0.713665,angle,0
x101,learn,119,L2,learn,0.452544,0.452544,1,1,1,0.57061,angle,0
x101,learn,120,L14,learn,0.38636,0.10352,1,1,1,0.871495,angle,0
x101,learn,121,L18,learn,-0.38636,0.10352,1,1,1,1.423815,angle,0
x101,learn,122,L29,learn,-1.84,0,0,1,0,0.80596,angle,0
x101,learn,123,L27,learn,1.301064,-1.301064,0,0,1,0.683815,angle,0
x101,learn,124,L24,learn,-0.62,1.07384,0,0,1,0.89176,angle,0
x101,learn,125,L23,learn,1.301064,1.301064,0,0,1,0.584685,angle,0
x101,learn,126,L19,learn,-0.10352,-0.38636,1,1,1,1.23734,angle,0
x101,learn,127,L12,learn,0.452544,-0.452544,1,1,1,0.69871,angle,0
x101,learn,128,L30,learn,0,-1.84,0,0,1,0.884965,angle,0
x101,learn,129,L10,learn,0,1.84,0,0,1,0.905175,angle,0
x101,learn,130,L3,learn,0.62,1.07384,0,0,1,1.54441,angle,0
x101,learn,131,L32,learn,0.10352,-0.38636,1,1,1,2.66317,angle,0
x101,learn,132,L25,learn,-1.07384,-0.62,0,1,0,1.204645,angle,0
x101,learn,133,L15,learn,-1.301064,1.301064,0,0,1,0.82127,angle,0
x101,learn,134,L9,learn,0,-0.64,1,0,0,2.158015,angle,0
